,user_id,user_text,action,response_text,incomplete_action,parameters
0,U9Q3FND6E,Hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
1,U9Q3FND6E,Tell me one work by Beethoven,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
2,U9Q3FND6E,Tell me one work by Beethoven,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
3,U9Q3FND6E,Yes thanks!,works-by - yes,"Ok, tell me what",False,{}
4,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
5,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
6,U9Q3FND6E,Tell me one work by Beethoven,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
7,U9Q3FND6E,Yes thanks!,works-by - yes,"Ok, tell me what",False,{}
8,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
9,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
10,U9Q3FND6E,No its ok!,works-by - no,,False,{}
11,U9Q3FND6E,Hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
12,U9Q3FND6E,Tell me one work by Beethoven,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
13,U9Q3FND6E,Yes thanks!,works-by - yes,"Ok, tell me what",False,{}
14,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
15,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
16,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
17,U9Q3FND6E,Tell me one work by Beethoven!,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
18,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
19,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
20,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
21,U9Q3FND6E,Give me 2 works by Beethoven!,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
22,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
23,U9Q3FND6E,Give me 2 works by Beethoven!,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
